순번,정산ID,고유번호(ARS),정류장명,시도명,시군구명,읍면동명,경도(십진수 도_분) 표기,위도(십진수 도_분) 표기
2469,8007235,82510,구즉동주민센터,대전광역시,유성구,구즉동,127°23.0468'E,36°26.4208'N
2470,8007236,82520,구즉동주민센터,대전광역시,유성구,구즉동,127°23.0586'E,36°26.4178'N
2471,8007237,82540,구즉초등학교,대전광역시,유성구,구즉동,127°22.9117'E,36°26.3876'N
2472,8007238,82380,복용1통,대전광역시,유성구,온천1동,127°19.0726'E,36°20.5860'N
2473,8007239,82400,복용3통,대전광역시,유성구,온천1동,127°18.7758'E,36°20.7126'N
2474,8007240,82420,씨엔씨티에너지학하CES,대전광역시,유성구,온천1동,127°18.4677'E,36°20.6694'N
2475,8007241,82460,학하중앙로,대전광역시,유성구,온천1동,127°18.4632'E,36°20.4384'N
2476,8007242,14570,양구례마을,대전광역시,동구,대청동,127°29.5026'E,36°24.3138'N
2477,8007243,14560,양구례마을,대전광역시,동구,대청동,127°29.5087'E,36°24.3132'N
2478,8007244,46310,예미지7단지,대전광역시,유성구,온천1동,127°20.8732'E,36°20.8089'N
2479,8007245,35160,대청병원,대전광역시,서구,도마2동,127°22.1837'E,36°18.4448'N
2480,8007246,35150,대청병원,대전광역시,서구,복수동,127°22.2367'E,36°18.3955'N
2481,8007247,46320,안골입구,대전광역시,유성구,진잠동,127°14.9351'E,36°17.2831'N
2482,8007248,46330,안골입구,대전광역시,유성구,진잠동,127°14.9423'E,36°17.2864'N
2483,8007249,53350,신탄진동행정복지센터,대전광역시,대덕구,신탄진동,127°25.7132'E,36°27.1694'N
2484,8007250,53360,신탄진동행정복지센터,대전광역시,대덕구,신탄진동,127°25.7330'E,36°27.1224'N
2485,8007252,53370,금강엑슬루타워정문,대전광역시,대덕구,석봉동,127°25.1268'E,36°26.9996'N
2486,8007254,73820,계룡역,충청남도,계룡시,두마면,127°15.8627'E,36°16.3984'N
2487,8007255,35170,우명동낚시터,대전광역시,서구,기성동,127°17.6043'E,36°13.7130'N
2488,8007256,35180,우명동낚시터,대전광역시,서구,기성동,127°17.5796'E,36°13.7190'N
2489,8007257,23630,사정공원,대전광역시,중구,산성동,127°24.3025'E,36°17.9133'N
2490,8007258,35120,오룡골,대전광역시,서구,기성동,127°20.8043'E,36°14.7804'N
2491,8007259,35140,산직2동종점,대전광역시,서구,기성동,127°21.1410'E,36°14.6022'N
2492,8007260,35130,오룡골,대전광역시,서구,기성동,127°20.8019'E,36°14.7864'N
2493,8007261,75630,대평리종점,세종특별자치시,세종시,대평동,127°16.8524'E,36°28.1616'N
2494,8007262,53390,보훈병원,대전광역시,대덕구,신탄진동,127°26.3618'E,36°26.8665'N
2495,8007263,53390,원내동공영차고지,대전광역시,유성구,진잠동,127°19.1125'E,36°17.5523'N
2496,8007264,35190,암뱀골,대전광역시,서구,정림동,127°21.8674'E,36°16.5504'N
2497,8007265,53200,암뱀골,대전광역시,서구,정림동,127°21.8770'E,36°16.5468'N
2498,8007266,14580,세천공원삼거리,대전광역시,동구,대청동,127°29.8791'E,36°20.8680'N
2499,8007267,46350,대전시립박물관,대전광역시,유성구,원신흥동,127°20.0616'E,36°20.1810'N
2500,8007268,14630,대전역동광장,대전광역시,동구,중앙동,127°26.2377'E,36°20.0290'N
2501,8007269,14590,한밭자이아파트,대전광역시,동구,삼성동,127°25.5747'E,36°20.4425'N
2502,8007270,14600,한밭자이아파트,대전광역시,동구,삼성동,127°25.5058'E,36°20.4718'N
2503,8007271,14610,솔랑마을아파트,대전광역시,동구,삼성동,127°25.3425'E,36°20.6067'N
2504,8007272,14620,솔랑마을아파트,대전광역시,동구,삼성동,127°25.2756'E,36°20.6356'N
2505,8007273,53400,대덕구청,대전광역시,대덕구,오정동,127°25.1272'E,36°20.7644'N
2506,8007274,53410,대덕구청,대전광역시,대덕구,오정동,127°25.0640'E,36°20.7937'N
2507,8007275,53420,한남오거리(BRT),대전광역시,대덕구,오정동,127°24.8641'E,36°20.9834'N
2508,8007276,53430,한남오거리(BRT),대전광역시,대덕구,오정동,127°24.7980'E,36°21.0094'N
2509,8007277,53440,오정동행정복지센터,대전광역시,대덕구,오정동,127°24.7053'E,36°21.1058'N
2510,8007278,53450,오정동행정복지센터,대전광역시,대덕구,오정동,127°24.6376'E,36°21.1381'N
2511,8007279,53460,오정농수산오거리,대전광역시,대덕구,오정동,127°24.4574'E,36°21.3050'N
2512,8007280,53470,오정농수산오거리,대전광역시,대덕구,오정동,127°24.3875'E,36°21.3371'N
2513,8007281,35210,다온숲아파트,대전광역시,서구,관저1동,127°20.3943'E,36°17.5205'N
2514,8007282,35220,다온숲아파트,대전광역시,서구,관저1동,127°20.3735'E,36°17.5486'N
2515,8007283,35230,천년나무아파트,대전광역시,서구,관저1동,127°20.6234'E,36°17.6380'N
2516,8007284,35240,어반힐스아파트,대전광역시,서구,관저1동,127°20.6009'E,36°17.6353'N
2517,8007285,35250,느리울초등학교,대전광역시,서구,관저1동,127°20.5319'E,36°17.8271'N
2518,8007286,35260,느리울13단지,대전광역시,서구,관저1동,127°20.6748'E,36°17.8484'N
2519,8007287,35270,관저체육공원,대전광역시,서구,관저1동,127°20.2424'E,36°17.5429'N
2520,8007288,53480,오정농수산시장,대전광역시,대덕구,오정동,127°24.2808'E,36°21.5203'N
2521,8007289,53490,대덕산업단지,대전광역시,대덕구,목상동,127°23.7846'E,36°26.2657'N
2522,8007290,53500,대덕산업단지,대전광역시,대덕구,목상동,127°23.7406'E,36°26.2821'N
2523,8007291,75640,한국개발연구원(KDI),세종특별자치시,세종시,소담동,127°18.4727'E,36°28.8674'N
2524,8007292,75650,한국개발연구원(KDI),세종특별자치시,세종시,소담동,127°18.4521'E,36°28.8763'N
2525,8007293,75660,소담동,세종특별자치시,세종시,소담동,127°17.8449'E,36°28.9645'N
2526,8007294,75670,소담동,세종특별자치시,세종시,소담동,127°17.8793'E,36°28.9506'N
2527,8007295,75680,세종시청.교육청.시의회,세종특별자치시,세종시,보람동,127°17.3261'E,36°28.7182'N
2528,8007296,75690,세종시청.교육청.시의회,세종특별자치시,세종시,보람동,127°17.2950'E,36°28.7020'N
2529,8007297,75700,보람동.대평동,세종특별자치시,세종시,보람동,127°16.8856'E,36°28.5301'N
2530,8007298,75710,보람동.대평동,세종특별자치시,세종시,보람동,127°16.8545'E,36°28.5063'N
2531,8007299,75720,세종터미널,세종특별자치시,세종시,대평동,127°16.3873'E,36°28.2510'N
2532,8007300,75730,세종터미널,세종특별자치시,세종시,대평동,127°16.3919'E,36°28.2428'N
2533,8007318,35280,서일고/서일여고,대전광역시,서구,관저1동,127°19.5393'E,36°17.7096'N
2534,8007319,35290,서일고/서일여고,대전광역시,서구,관저1동,127°19.5627'E,36°17.7306'N
2535,8007320,46360,죽동예미지아파트,대전광역시,유성구,온천2동,127°20.0795'E,36°22.1928'N
2536,8007321,46380,죽동천년나무아파트,대전광역시,유성구,온천2동,127°20.2024'E,36°22.2402'N
2537,8007322,46400,충대서문,대전광역시,유성구,온천2동,127°20.4298'E,36°22.2144'N
2538,8007323,46390,죽동천년나무아파트,대전광역시,유성구,온천2동,127°20.2560'E,36°22.2444'N
2539,8007324,46370,죽동칸타빌아파트,대전광역시,유성구,온천2동,127°20.0362'E,36°22.1478'N
2540,8007325,35300,월평역,대전광역시,서구,월평1동,127°21.6604'E,36°21.5102'N
2541,8007326,34750,서부소방서,대전광역시,서구,도마2동,127°22.3031'E,36°18.5699'N
2542,8007327,23640,홀트아동복지회관,대전광역시,중구,문화1동,127°24.8288'E,36°18.7296'N
